(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39)
Model;bCMS;_M1
Comment;Cr_10000;_F0
Property;C_5136_P_92;(not _F0)
Comment;Cr_9999;_F0
Association;Cr_9998;_F0
Association;Cr_9997;_F0
Comment;Cr_9996;_F0
Property;C_5135_P_91;(not _F0)
Property;C_5134_P_90;(not _F0)
Region;Cr_9995;_F0
Transition;Cr_9994;_F0
Property;Cr_9993;_F0
Region;Cr_9992;_F0
Class;Cr_9991;_F0
Property;C_5133_P_89;(not _F0)
Region;Cr_9990;_F0
Class;C_5132_PSCSystem;(not _F1)
Association;Cr_9989;_F1
Association;Cr_9988;_F1
Property;C_5131_P_88;(not _F1)
Property;C_5130_P_87;(not _F1)
Property;C_5129_P_86;(not _F1)
Class;C_5128_FSCSystem;(not _F1)
Class;Cr_9987;_F1
Property;Cr_9986;_F1
Comment;Cr_9985;_F1
Region;Cr_9984;_F1
Association;C_5127_fSCSystem_call_pSCSystem;(not _F1)
Transition;Cr_9983;_F1
Association;C_5126_pSCSystem_call_fSCSystem;(not _F1)
DomainModel;C_5125_Architecture;(not _F1)
Generalization;C_5124_G_6;(not _F2)
Class;C_5123_FSCSystemNoEncryption;(not _F2)
Generalization;C_5122_G_5;(not _F2)
Class;Cr_9982;_F2
Class;C_5121_PSCSystemNoEncryption;(not _F2)
Comment;Cr_9981;_F2
Class;Cr_9980;_F2
Comment;Cr_9979;_F2
Property;Cr_9978;_F2
Property;Cr_9977;_F2
Property;Cr_9976;_F2
Generalization;C_5120_G_4;(not _F2)
Comment;Cr_9975;_F2
Class;C_5119_FScoordinatorNoEncryption;(not _F2)
Class;Cr_9974;_F2
Class;Cr_9973;_F3
Association;Cr_9972;_F3
Generalization;C_5118_G_3;(not _F3)
Transition;Cr_9971;_F3
Class;C_5117_PScoordinatorNoEncryption;(not _F3)
Class;Cr_9970;_F3
Region;Cr_9969;_F3
Property;Cr_9968;_F3
Association;Cr_9967;_F3
Class;Cr_9966;_F3
Region;Cr_9965;_F3
Association;Cr_9964;_F3
Association;Cr_9963;_F3
Property;C_5116_P_85;(not _F3)
Association;Cr_9962;_F3
Region;Cr_9961;_F4
Property;C_5115_P_84;(not _F4)
Class;C_5114_Witness;(not _F4)
Property;C_5113_P_83;(not _F4)
Transition;Cr_9960;_F4
Transition;Cr_9959;_F4
Property;C_5112_P_82;(not _F4)
Class;C_5111_Victim;(not _F4)
Comment;Cr_9958;_F4
Property;C_5110_P_81;(not _F4)
Property;Cr_9957;_F4
Property;C_5109_P_80;(not _F4)
Property;C_5108_P_79;(not _F4)
Property;Cr_9955;_F4
Region;Cr_9954;_F5
