(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59 _F60 _F61 _F62 _F63 _F64 _F65 _F66 _F67 _F68 _F69 _F70 _F71 _F72 _F73 _F74 _F75 _F76 _F77 _F78 _F79 _F80 _F81 _F82 _F83 _F84 _F85 _F86 _F87 _F88 _F89 _F90 _F91 _F92 _F93 _F94 _F95 _F96 _F97 _F98 _F99)
Model;bCMS;_M1
Class;PSCSystem;(and (not _F0) (not _F9))
Class;FSCSystem;(and (not _F1) (not _F13))
DomainModel;Architecture;(not _F1)
Class;FSCSystemNoEncryption;(not _F2)
Association;Cr_9987;_F2
Class;PSCSystemNoEncryption;(not _F2)
Class;FScoordinatorNoEncryption;(not _F2)
Generalization;G_3;(not _F2)
Class;PScoordinatorNoEncryption;(not _F3)
Class;Witness;(not _F3)
Class;Victim;(not _F3)
Class;TimeoutLog;(not _F4)
Class;RoutePoliceCar;(not _F5)
Class;RoutePlan;(not _F6)
Class;RouteFireTruck;(not _F7)
Class;Route;(not _F7)
Class;PScoordinator;(not _F9)
Class;PoliceOfficer;(not _F10)
Region;Cr_9939;_F11
Class;PoliceCar;(not _F11)
Class;GPS;(not _F12)
Class;GovermentAgency;(not _F12)
Comment;Cr_9917;_F14
Property;Cr_9916;_F14
Class;FScoordinator;(not _F14)
Class;FireTruck;(not _F15)
Class;Fireman;(not _F16)
Property;Cr_9905;_F16
Class;Crisis;(not _F17)
Property;P_9;(not _F18)
Class;Credential;(not _F18)
Property;P_8;(not _F18)
Class;CommunicationInfrastructure;(not _F19)
Property;P_6;(not _F19)
Class;CommunicationCompromiser;(not _F19)
Property;Cr_9891;_F19
Class;BCMSSystem;(not _F20)
Association;communicationInfrastructure_use_bCMSSystem;(not _F20)
Comment;Cr_9873;_F21
Association;timeoutLog_register_fSCSystem;(not _F21)
Association;timeoutLog_register_pSCSystem;(not _F21)
Association;policeCars_manage_pScoordinator;(not _F22)
Association;witnesses_interact_policeOfficers;(not _F22)
Property;Cr_9863;_F23
Association;witnesses_interact_firemen;(not _F23)
Association;fScoordinator_interact_fSCSystem;(not _F23)
Association;firemen_interact_fScoordinator;(not _F23)
Association;routePlans_develop_pSCSystem;(not _F24)
Association;Cr_9849;_F25
Association;communicationInfrastructure_access_communicationCompromisers;(not _F25)
Association;routePoliceCars_route_routePlan;(not _F25)
Association;bCMSSystem_contain_pSCSystem;(not _F26)
Association;bCMSSystem_contain_fSCSystem;(not _F26)
DomainModel;Domain;(not _F26)
Transition;T_76;(not _F26)
Region;Region2;(not _F27)
Transition;T_74;(not _F27)
Transition;T_72;(not _F27)
Transition;T_71;(not _F27)
Association;Cr_9834;_F27
Class;Cr_9831;_F28
Transition;Cr_9826;_F29
Region;S_39;(not _F29)
Region;S_36;(not _F30)
Region;S_35;(not _F30)
Region;S_33;(not _F31)
Comment;Cr_9804;_F31
Region;Region1;(not _F31)
StateMachine;SM-PScoordinator;(not _F32)
Region;R16;(not _F32)
Region;S_30;(not _F33)
Region;R15;(not _F33)
StateMachine;SM-ConnectivityPSCsystem;(not _F33)
Transition;T_59;(not _F34)
Region;S_29;(not _F34)
Region;R14;(not _F34)
Transition;T_58;(not _F34)
Transition;T_56;(not _F35)
Transition;T_55;(not _F35)
Transition;T_54;(not _F35)
Association;Cr_9783;_F35
Transition;T_52;(not _F35)
Transition;T_51;(not _F35)
Region;S_27;(not _F36)
Region;S_26;(not _F36)
Region;S_25;(not _F36)
Region;S_24;(not _F36)
Region;S_23;(not _F37)
Region;S_21;(not _F37)
Region;R13;(not _F37)
StateMachine;SM-PSCSystem;(not _F37)
Property;Cr_9772;_F37
Region;R12;(not _F38)
Region;S_18;(not _F38)
Region;R11;(not _F39)
Association;Cr_9768;_F39
StateMachine;SM-ConnectivityFSCsystem;(not _F39)
Region;S_15;(not _F40)
Region;R10;(not _F40)
Property;Cr_9756;_F40
Transition;T_39;(not _F41)
Region;S_13;(not _F41)
Region;PS_9;(not _F41)
Region;R9;(not _F41)
Transition;T_37;(not _F41)
Region;S_11;(not _F42)
Region;R8;(not _F42)
Transition;T_35;(not _F42)
Region;S_9;(not _F42)
Region;PS_7;(not _F43)
Region;R7;(not _F43)
Transition;T_34;(not _F43)
Region;S_7;(not _F43)
Region;R6;(not _F44)
Transition;T_31;(not _F44)
Region;R5;(not _F45)
StateMachine;SM-Main;(not _F45)
Transition;T_30;(not _F45)
Region;S_3;(not _F46)
Region;R4;(not _F46)
Transition;T_28;(not _F46)
Transition;T_27;(not _F46)
Region;Cr_9722;_F46
Transition;T_25;(not _F47)
Transition;T_24;(not _F47)
Transition;T_21;(not _F47)
Transition;T_20;(not _F48)
Transition;T_19;(not _F48)
Region;PS_3;(not _F48)
Region;R3;(not _F49)
StateMachine;SM-FScoordinator;(not _F49)
Transition;T_17;(not _F49)
Transition;T_16;(not _F49)
Association;Cr_9697;_F50
Region;S_2;(not _F50)
Region;S_1;(not _F50)
Region;PS_2;(not _F50)
Region;R2;(not _F51)
Transition;T_15;(not _F51)
Region;Cr_9686;_F51
Transition;T_13;(not _F51)
Transition;T_12;(not _F51)
Transition;T_11;(not _F52)
Transition;T_10;(not _F52)
Transition;T_9;(not _F52)
Transition;T_8;(not _F52)
Region;Cr_9681;_F52
Transition;T_7;(not _F52)
Transition;T_5;(not _F52)
Transition;T_4;(not _F52)
Transition;T_3;(not _F53)
Transition;T_2;(not _F53)
Transition;T_1;(not _F53)
Region;PS_1;(not _F53)
Region;R1;(not _F53)
StateMachine;SM-FSCsystem;(not _F53)
Comment;Author;(not _F53)
Comment;Cr_9673;_F54
Class;Cr_9669;_F54
Transition;Cr_9658;_F55
Association;Cr_9655;_F55
Region;Cr_9652;_F55
Comment;Cr_9621;_F58
Comment;Cr_9614;_F58
Association;Cr_9608;_F59
Class;Cr_9605;_F59
Class;Cr_9599;_F60
Transition;Cr_9596;_F60
Association;Cr_9592;_F60
Comment;Cr_9589;_F61
Transition;Cr_9588;_F61
Region;Cr_9584;_F61
Transition;Cr_9568;_F62
Association;Cr_9562;_F63
Transition;Cr_9558;_F63
Comment;Cr_9557;_F63
Transition;Cr_9554;_F63
Property;Cr_9551;_F64
Association;Cr_9550;_F64
Region;Cr_9540;_F65
Region;Cr_9539;_F65
Association;Cr_9538;_F65
Transition;Cr_9532;_F65
Region;Cr_9528;_F66
Class;Cr_9526;_F66
Transition;Cr_9525;_F66
Association;Cr_9521;_F66
Association;Cr_9515;_F67
Class;Cr_9512;_F67
Association;Cr_9510;_F67
Comment;Cr_9500;_F68
Class;Cr_9491;_F69
Comment;Cr_9490;_F69
Comment;Cr_9489;_F69
Comment;Cr_9483;_F69
Association;Cr_9476;_F70
Property;Cr_9469;_F71
Comment;Cr_9462;_F71
Property;Cr_9459;_F71
Association;Cr_9456;_F72
Property;Cr_9455;_F72
Association;Cr_9454;_F72
Class;Cr_9450;_F72
Property;Cr_9449;_F72
Region;Cr_9443;_F73
Comment;Cr_9442;_F73
Comment;Cr_9434;_F73
Association;Cr_9425;_F74
Association;Cr_9416;_F75
Property;Cr_9413;_F75
Association;Cr_9412;_F75
Transition;Cr_9411;_F75
Property;Cr_9410;_F75
Association;Cr_9408;_F76
Property;Cr_9404;_F76
Comment;Cr_9403;_F76
Comment;Cr_9397;_F77
Comment;Cr_9394;_F77
Class;Cr_9390;_F77
Association;Cr_9388;_F77
Class;Cr_9382;_F78
Association;Cr_9379;_F78
Comment;Cr_9377;_F78
Class;Cr_9373;_F79
Comment;Cr_9371;_F79
Transition;Cr_9365;_F79
Property;Cr_9361;_F80
Region;Cr_9358;_F80
Transition;Cr_9357;_F80
Property;Cr_9356;_F80
Comment;Cr_9355;_F80
Region;Cr_9354;_F80
Comment;Cr_9353;_F80
Comment;Cr_9352;_F80
Region;Cr_9351;_F80
Comment;Cr_9349;_F81
Transition;Cr_9348;_F81
Comment;Cr_9347;_F81
Association;Cr_9345;_F81
Property;Cr_9342;_F81
Region;Cr_9338;_F81
Transition;Cr_9334;_F82
Transition;Cr_9331;_F82
Property;Cr_9330;_F82
Class;Cr_9329;_F82
Association;Cr_9328;_F82
Class;Cr_9323;_F83
Association;Cr_9317;_F83
Comment;Cr_9316;_F83
Association;Cr_9315;_F83
Association;Cr_9310;_F84
Association;Cr_9309;_F84
Transition;Cr_9307;_F84
Class;Cr_9306;_F84
Region;Cr_9304;_F84
Comment;Cr_9303;_F84
Region;Cr_9301;_F85
Comment;Cr_9299;_F85
Property;Cr_9297;_F85
Property;Cr_9293;_F85
Association;Cr_9290;_F85
Association;Cr_9289;_F86
Property;Cr_9288;_F86
Transition;Cr_9287;_F86
Transition;Cr_9285;_F86
Region;Cr_9284;_F86
Association;Cr_9282;_F86
Property;Cr_9281;_F86
Association;Cr_9280;_F86
Transition;Cr_9279;_F86
Region;Cr_9277;_F87
Property;Cr_9275;_F87
Association;Cr_9274;_F87
Transition;Cr_9272;_F87
Property;Cr_9271;_F87
Transition;Cr_9269;_F87
Comment;Cr_9268;_F87
Class;Cr_9266;_F87
Region;Cr_9265;_F88
Region;Cr_9264;_F88
Transition;Cr_9262;_F88
Transition;Cr_9261;_F88
Property;Cr_9260;_F88
Property;Cr_9259;_F88
Property;Cr_9258;_F88
Transition;Cr_9254;_F88
Property;Cr_9251;_F89
Class;Cr_9250;_F89
Class;Cr_9247;_F89
Association;Cr_9246;_F89
Region;Cr_9245;_F89
Region;Cr_9244;_F89
Region;Cr_9243;_F89
Association;Cr_9241;_F90
Association;Cr_9240;_F90
Transition;Cr_9237;_F90
Region;Cr_9235;_F90
Association;Cr_9234;_F90
Region;Cr_9233;_F90
Property;Cr_9231;_F90
Association;Cr_9230;_F90
Property;Cr_9229;_F91
Transition;Cr_9226;_F91
Class;Cr_9225;_F91
Comment;Cr_9224;_F91
Association;Cr_9223;_F91
Property;Cr_9222;_F91
Property;Cr_9221;_F91
Region;Cr_9220;_F91
Comment;Cr_9219;_F91
Property;Cr_9218;_F91
Region;Cr_9217;_F92
Class;Cr_9216;_F92
Property;Cr_9215;_F92
Region;Cr_9214;_F92
Comment;Cr_9213;_F92
Association;Cr_9212;_F92
Class;Cr_9210;_F92
Association;Cr_9209;_F92
Class;Cr_9207;_F92
Property;Cr_9206;_F92
Transition;Cr_9205;_F93
Comment;Cr_9202;_F93
Comment;Cr_9199;_F93
Association;Cr_9197;_F93
Association;Cr_9194;_F93
Association;Cr_9193;_F94
Transition;Cr_9192;_F94
Class;Cr_9190;_F94
Association;Cr_9188;_F94
Region;Cr_9187;_F94
Comment;Cr_9186;_F94
Property;Cr_9185;_F94
Property;Cr_9184;_F94
Property;Cr_9183;_F94
Comment;Cr_9182;_F94
Class;Cr_9181;_F95
Region;Cr_9179;_F95
Transition;Cr_9178;_F95
Association;Cr_9174;_F95
Association;Cr_9173;_F95
Class;Cr_9172;_F95
Property;Cr_9171;_F95
Association;Cr_9170;_F95
Class;Cr_9169;_F96
Class;Cr_9168;_F96
Association;Cr_9167;_F96
Comment;Cr_9166;_F96
Transition;Cr_9165;_F96
Class;Cr_9164;_F96
Comment;Cr_9163;_F96
Property;Cr_9161;_F96
Class;Cr_9160;_F96
Property;Cr_9159;_F96
Association;Cr_9158;_F96
Association;Cr_9157;_F97
Comment;Cr_9156;_F97
Association;Cr_9154;_F97
Region;Cr_9153;_F97
Association;Cr_9152;_F97
Property;Cr_9151;_F97
Comment;Cr_9150;_F97
Association;Cr_9149;_F97
Region;Cr_9148;_F97
Property;Cr_9147;_F97
Property;Cr_9145;_F98
Association;Cr_9144;_F98
Association;Cr_9143;_F98
Class;Cr_9142;_F98
Transition;Cr_9141;_F98
Transition;Cr_9140;_F98
Association;Cr_9139;_F98
Comment;Cr_9138;_F98
Class;Cr_9137;_F98
Association;Cr_9136;_F98
Transition;Cr_9135;_F98
Class;Cr_9134;_F98
Region;Cr_9132;_F99
Class;Cr_9131;_F99
Class;Cr_9130;_F99
Region;Cr_9129;_F99
Class;Cr_9128;_F99
Property;Cr_9127;_F99
Class;Cr_9126;_F99
Class;Cr_9125;_F99
Transition;Cr_9124;_F99
Association;Cr_9123;_F99
Association;Cr_9122;_F99
