(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59 _F60 _F61 _F62 _F63 _F64 _F65 _F66 _F67 _F68 _F69 _F70 _F71 _F72 _F73 _F74 _F75 _F76 _F77 _F78 _F79)
Model;bCMS;_M1
Property;C_641_P_91;(not _F0)
Property;C_640_P_90;(not _F0)
Class;Cr_10000;_F0
Property;C_639_P_89;(not _F0)
Class;C_638_PSCSystem;(not _F0)
Association;Cr_9998;_F0
Property;C_637_P_88;(not _F0)
Transition;Cr_9997;_F0
Association;Cr_9995;_F1
Association;Cr_9994;_F1
Class;Cr_9993;_F1
Class;C_634_FSCSystem;(not _F1)
Comment;Cr_9992;_F1
Association;C_633_fSCSystem_call_pSCSystem;(not _F1)
Transition;Cr_9989;_F1
DomainModel;C_631_Architecture;(not _F2)
Generalization;C_630_G_6;(not _F2)
Class;C_629_FSCSystemNoEncryption;(not _F2)
Comment;Cr_9986;_F2
Class;C_627_PSCSystemNoEncryption;(not _F2)
Generalization;C_626_G_4;(not _F2)
Class;C_625_FScoordinatorNoEncryption;(not _F3)
Comment;Cr_9983;_F3
Class;C_623_PScoordinatorNoEncryption;(not _F3)
Property;C_622_P_85;(not _F3)
Comment;Cr_9981;_F3
Comment;Cr_9979;_F3
Class;Cr_9978;_F4
Class;Cr_9975;_F4
Class;C_620_Witness;(not _F4)
Class;Cr_9971;_F4
Property;C_618_P_82;(not _F4)
Class;C_617_Victim;(not _F5)
Property;C_615_P_80;(not _F5)
Property;C_614_P_79;(not _F5)
Association;Cr_9969;_F5
Property;C_612_P_77;(not _F5)
Comment;Cr_9966;_F5
Property;C_611_P_76;(not _F6)
Property;Cr_9965;_F6
Property;C_610_P_75;(not _F6)
Association;Cr_9960;_F6
Comment;Cr_9959;_F6
Class;C_608_TimeoutLog;(not _F7)
Generalization;C_607_G_2;(not _F7)
Property;C_606_P_73;(not _F7)
Property;C_605_P_72;(not _F7)
Class;C_604_RoutePoliceCar;(not _F7)
Region;Cr_9957;_F7
Property;C_599_P_67;(not _F8)
Class;C_596_RoutePlan;(not _F8)
Transition;Cr_9951;_F8
Property;C_593_P_63;(not _F9)
Class;C_592_RouteFireTruck;(not _F9)
Property;C_591_P_62;(not _F9)
Property;C_590_P_61;(not _F9)
Class;C_589_Route;(not _F9)
Property;C_588_P_60;(not _F9)
Property;C_585_P_57;(not _F10)
Comment;Cr_9945;_F10
Class;Cr_9943;_F10
Class;C_581_PSCSystem;(not _F10)
Property;C_579_P_52;(not _F11)
Property;Cr_9941;_F11
Transition;Cr_9940;_F11
Property;C_578_P_51;(not _F11)
Class;Cr_9939;_F11
Property;C_577_P_50;(not _F11)
Property;C_576_P_49;(not _F11)
Class;C_575_PScoordinator;(not _F11)
Property;C_574_P_48;(not _F12)
Property;Cr_9936;_F12
Property;C_573_P_47;(not _F12)
Property;Cr_9934;_F12
Class;C_571_PoliceOfficer;(not _F12)
Property;Cr_9932;_F12
Property;C_570_P_45;(not _F12)
Association;Cr_9931;_F12
Property;C_568_P_43;(not _F13)
Property;C_567_P_42;(not _F13)
