(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19)
Model;bCMS;_M1
Property;Cr_10000;_F0
Region;Cr_9998;_F0
Property;Cr_9997;_F0
Class;PSCSystem;(and (not _F0) (not _F8))
Class;FSCSystem;(and (not _F0) (not _F12))
Association;fSCSystem_call_pSCSystem;(not _F1)
Region;Cr_9992;_F1
Property;Cr_9990;_F1
Region;Cr_9989;_F1
DomainModel;Architecture;(not _F1)
Region;Cr_9987;_F1
Property;Cr_9985;_F1
Generalization;G_6;(not _F1)
Class;FSCSystemNoEncryption;(not _F1)
Transition;Cr_9982;_F2
Property;Cr_9976;_F2
Class;Cr_9975;_F2
Class;PSCSystemNoEncryption;(not _F2)
Class;FScoordinatorNoEncryption;(not _F2)
Class;PScoordinatorNoEncryption;(not _F3)
Class;Witness;(not _F3)
Region;Cr_9971;_F3
Class;Victim;(not _F3)
Property;P_79;(not _F3)
Property;P_78;(not _F3)
Property;P_77;(not _F4)
Comment;Cr_9970;_F4
Property;P_76;(not _F4)
Property;P_75;(not _F4)
Comment;Cr_9966;_F4
Property;P_74;(not _F4)
Class;TimeoutLog;(not _F4)
Class;Cr_9965;_F4
Generalization;G_2;(not _F4)
Region;Cr_9964;_F4
Association;Cr_9963;_F4
Transition;Cr_9962;_F5
Class;RoutePoliceCar;(not _F5)
Property;P_71;(not _F5)
Property;P_70;(not _F5)
Property;Cr_9960;_F5
Property;Cr_9959;_F5
Property;Cr_9958;_F5
Class;Cr_9957;_F5
Comment;Cr_9956;_F5
Association;Cr_9954;_F5
Property;Cr_9951;_F6
Property;Cr_9950;_F6
Region;Cr_9949;_F6
Association;Cr_9948;_F6
Property;Cr_9947;_F6
Region;Cr_9946;_F6
Class;RoutePlan;(not _F6)
Generalization;G_1;(not _F6)
Class;RouteFireTruck;(not _F7)
Region;Cr_9945;_F7
Property;Cr_9944;_F7
Class;Route;(not _F7)
Class;Cr_9941;_F7
Region;Cr_9940;_F7
Property;P_58;(not _F7)
Property;Cr_9939;_F7
Property;Cr_9938;_F7
Property;P_57;(not _F8)
Property;P_56;(not _F8)
Region;Cr_9936;_F8
Property;Cr_9935;_F8
Property;P_54;(not _F8)
Property;P_53;(not _F8)
Property;P_52;(not _F8)
Class;Cr_9932;_F8
Property;P_51;(not _F8)
Class;PScoordinator;(not _F9)
Region;Cr_9931;_F9
Class;PoliceOfficer;(not _F9)
Property;Cr_9928;_F9
Comment;Cr_9927;_F9
Property;Cr_9926;_F9
Class;Cr_9924;_F9
Property;Cr_9923;_F10
Comment;Cr_9921;_F10
