(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59)
Model;bCMS;_M1
Transition;Cr_9998;_F0
Property;C_639_P_89;(not _F0)
Class;C_638_PSCSystem;(not _F0)
Property;C_636_P_87;(not _F0)
Property;Cr_9996;_F0
Class;C_634_FSCSystem;(not _F1)
Association;C_633_fSCSystem_call_pSCSystem;(not _F1)
Region;Cr_9992;_F1
Association;C_632_pSCSystem_call_fSCSystem;(not _F1)
Region;Cr_9991;_F1
DomainModel;C_631_Architecture;(not _F1)
Property;Cr_9990;_F1
Class;C_629_FSCSystemNoEncryption;(not _F2)
Generalization;C_628_G_5;(not _F2)
Class;C_627_PSCSystemNoEncryption;(not _F2)
Region;Cr_9988;_F2
Association;Cr_9987;_F2
Association;Cr_9986;_F2
Comment;Cr_9985;_F2
Class;C_625_FScoordinatorNoEncryption;(not _F2)
Property;Cr_9984;_F2
Comment;Cr_9983;_F2
Generalization;C_624_G_3;(not _F3)
Class;C_623_PScoordinatorNoEncryption;(not _F3)
Property;C_622_P_85;(not _F3)
Property;C_621_P_84;(not _F3)
Class;C_620_Witness;(not _F3)
Property;Cr_9982;_F3
Property;C_619_P_83;(not _F3)
Property;C_618_P_82;(not _F3)
Class;Cr_9980;_F3
Comment;Cr_9979;_F3
Class;C_617_Victim;(not _F3)
Region;Cr_9978;_F4
Property;C_613_P_78;(not _F4)
Region;Cr_9973;_F4
Property;Cr_9970;_F5
Property;C_611_P_76;(not _F5)
Class;Cr_9968;_F5
Class;Cr_9967;_F5
Property;C_610_P_75;(not _F5)
Property;C_609_P_74;(not _F5)
Class;C_608_TimeoutLog;(not _F5)
Association;Cr_9966;_F5
Transition;Cr_9965;_F6
Transition;Cr_9964;_F6
Class;Cr_9963;_F6
Region;Cr_9962;_F6
Class;C_604_RoutePoliceCar;(not _F6)
Comment;Cr_9959;_F6
Property;C_602_P_70;(not _F6)
Comment;Cr_9958;_F6
Property;C_598_P_66;(not _F7)
Property;C_597_P_65;(not _F7)
Comment;Cr_9954;_F7
Comment;Cr_9953;_F7
Property;Cr_9952;_F7
Class;Cr_9951;_F7
Region;Cr_9950;_F8
Class;C_596_RoutePlan;(not _F8)
Generalization;C_595_G_1;(not _F8)
Class;Cr_9948;_F8
Class;Cr_9947;_F8
Association;Cr_9946;_F8
Property;C_593_P_63;(not _F8)
Class;C_592_RouteFireTruck;(not _F8)
Transition;Cr_9945;_F8
Comment;Cr_9944;_F8
Property;C_591_P_62;(not _F9)
Comment;Cr_9942;_F9
Property;C_590_P_61;(not _F9)
Comment;Cr_9940;_F9
Transition;Cr_9939;_F9
Class;Cr_9938;_F9
Region;Cr_9937;_F9
Class;C_589_Route;(not _F9)
Transition;Cr_9936;_F9
Property;C_588_P_60;(not _F10)
Transition;Cr_9933;_F10
Property;C_586_P_58;(not _F10)
Property;Cr_9932;_F10
