(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39)
Model;bCMS;_M1
Transition;Cr_10000;_F0
Property;C_1284_P_92;(not _F0)
Comment;Cr_9999;_F0
Property;C_1283_P_91;(not _F0)
Property;C_1282_P_90;(not _F0)
Comment;Cr_9998;_F0
Property;C_1281_P_89;(not _F0)
Transition;Cr_9997;_F0
Class;C_1280_PSCSystem;(not _F0)
Property;C_1279_P_88;(not _F0)
Property;C_1278_P_87;(not _F1)
Property;C_1277_P_86;(not _F1)
Property;Cr_9994;_F1
Class;C_1276_FSCSystem;(not _F1)
Association;Cr_9993;_F1
Association;C_1275_fSCSystem_call_pSCSystem;(not _F1)
Association;C_1274_pSCSystem_call_fSCSystem;(not _F1)
Association;Cr_9992;_F1
DomainModel;C_1273_Architecture;(not _F1)
Class;Cr_9991;_F1
Class;C_1271_FSCSystemNoEncryption;(not _F1)
Transition;Cr_9989;_F2
Generalization;C_1270_G_5;(not _F2)
Comment;Cr_9987;_F2
Class;C_1269_PSCSystemNoEncryption;(not _F2)
Class;Cr_9985;_F2
Region;Cr_9983;_F2
Property;Cr_9982;_F2
Transition;Cr_9981;_F3
Association;Cr_9980;_F3
Class;C_1267_FScoordinatorNoEncryption;(not _F3)
Generalization;C_1266_G_3;(not _F3)
Transition;Cr_9979;_F3
Class;C_1265_PScoordinatorNoEncryption;(not _F3)
Property;C_1264_P_85;(not _F3)
Comment;Cr_9978;_F3
Property;C_1263_P_84;(not _F3)
Class;C_1262_Witness;(not _F3)
Property;C_1260_P_82;(not _F3)
Property;Cr_9977;_F4
Class;C_1259_Victim;(not _F4)
Property;C_1258_P_81;(not _F4)
Property;C_1257_P_80;(not _F4)
Comment;Cr_9976;_F4
Property;C_1256_P_79;(not _F4)
Property;C_1255_P_78;(not _F4)
Region;Cr_9975;_F4
Property;Cr_9974;_F4
